SampleID	Sex	ID	Population	Sub-population	Cohort
NA19473	female	SAME123119	AFR	NA	1000 Genomes Project
NA19720	male	SAME124118	AMR	NA	1000 Genomes Project
NA19454	male	SAME125412	AFR	NA	1000 Genomes Project
NA19725	female	SAME124689	AMR	NA	1000 Genomes Project
NA19461	male	SAME123298	AFR	NA	1000 Genomes Project
NA19701	female	SAME124232	AFR	NA	1000 Genomes Project
NA19923	female	SAME124710	AFR	NA	1000 Genomes Project
NA19713	female	SAME124448	AFR	NA	1000 Genomes Project
NA19749	female	SAME124726	AMR	NA	1000 Genomes Project
NA20127	female	SAME122884	AFR	NA	1000 Genomes Project
NA19788	female	SAME123153	AMR	NA	1000 Genomes Project
NA19794	female	SAME123328	AMR	NA	1000 Genomes Project
NA19795	male	SAME123329	AMR	NA	1000 Genomes Project
NA19834	male	SAME125030	AFR	NA	1000 Genomes Project
NA19782	female	SAME123145	AMR	NA	1000 Genomes Project
NA19904	male	SAME125047	AFR	NA	1000 Genomes Project
NA19732	male	SAME124778	AMR	NA	1000 Genomes Project
NA19909	female	SAME125052	AFR	NA	1000 Genomes Project
NA19776	female	SAME124062	AMR	NA	1000 Genomes Project
NA19819	female	SAME124676	AFR	NA	1000 Genomes Project
NA19783	male	SAME123144	AMR	NA	1000 Genomes Project
NA20289	female	SAME124579	AFR	NA	1000 Genomes Project
NA19764	female	SAME123898	AMR	NA	1000 Genomes Project
NA20291	male	SAME124373	AFR	NA	1000 Genomes Project
NA19771	male	SAME124069	AMR	NA	1000 Genomes Project
NA20296	female	SAME124380	AFR	NA	1000 Genomes Project
NA19752	female	SAME123700	AMR	NA	1000 Genomes Project
NA20359	female	SAME124601	AFR	NA	1000 Genomes Project
NA20278	male	SAME123617	AFR	NA	1000 Genomes Project
NA20412	female	SAME124002	AFR	NA	1000 Genomes Project
NA20126	male	SAME122885	AFR	NA	1000 Genomes Project
NA19916	male	SAME125271	AFR	NA	1000 Genomes Project
NA19922	male	SAME124711	AFR	NA	1000 Genomes Project
NA19984	male	SAME124287	AFR	NA	1000 Genomes Project
NA20362	male	SAME124788	AFR	NA	1000 Genomes Project
NA20342	male	SAME124398	AFR	NA	1000 Genomes Project
NA20502	female	SAME124358	EUR	NA	1000 Genomes Project
NA19908	male	SAME125053	AFR	NA	1000 Genomes Project
NA20519	male	SAME123179	EUR	NA	1000 Genomes Project
NA20521	male	SAME124018	EUR	NA	1000 Genomes Project
NA20506	female	SAME124362	EUR	NA	1000 Genomes Project
NA20348	male	SAME124407	AFR	NA	1000 Genomes Project
NA20809	male	SAME125359	EUR	NA	1000 Genomes Project
NA20355	female	SAME124597	AFR	NA	1000 Genomes Project
NA20811	male	SAME123069	EUR	NA	1000 Genomes Project
NA20513	male	SAME124561	EUR	NA	1000 Genomes Project
NA20518	male	SAME123178	EUR	NA	1000 Genomes Project
NA20317	female	SAME123943	AFR	NA	1000 Genomes Project
NA20520	male	SAME124019	EUR	NA	1000 Genomes Project
NA20538	male	SAME124163	EUR	NA	1000 Genomes Project
NA20582	female	SAME123474	EUR	NA	1000 Genomes Project
NA20540	female	SAME125148	EUR	NA	1000 Genomes Project
NA20587	female	SAME123481	EUR	NA	1000 Genomes Project
NA20507	female	SAME124361	EUR	NA	1000 Genomes Project
NA20753	female	SAME124178	EUR	NA	1000 Genomes Project
NA20514	female	SAME124558	EUR	NA	1000 Genomes Project
NA20588	male	SAME122866	EUR	NA	1000 Genomes Project
NA20544	male	SAME125146	EUR	NA	1000 Genomes Project
NA20754	male	SAME124173	EUR	NA	1000 Genomes Project
NA20758	male	SAME125117	EUR	NA	1000 Genomes Project
NA20533	female	SAME124172	EUR	NA	1000 Genomes Project
NA20760	female	SAME124364	EUR	NA	1000 Genomes Project
NA20785	male	SAME123611	EUR	NA	1000 Genomes Project
NA20525	male	SAME124015	EUR	NA	1000 Genomes Project
NA20792	male	SAME123817	EUR	NA	1000 Genomes Project
NA20532	male	SAME124171	EUR	NA	1000 Genomes Project
NA20797	female	SAME123820	EUR	NA	1000 Genomes Project
NA20765	male	SAME124367	EUR	NA	1000 Genomes Project
NA20772	female	SAME124574	EUR	NA	1000 Genomes Project
NA20881	female	SAME124531	SAS	NA	1000 Genomes Project
NA20796	male	SAME123819	EUR	NA	1000 Genomes Project
NA20886	female	SAME123878	SAS	NA	1000 Genomes Project
NA20804	female	SAME125224	EUR	NA	1000 Genomes Project
NA20759	male	SAME125094	EUR	NA	1000 Genomes Project
NA20828	female	SAME123076	EUR	NA	1000 Genomes Project
NA20761	female	SAME124363	EUR	NA	1000 Genomes Project
NA20847	female	SAME123432	SAS	NA	1000 Genomes Project
NA20766	female	SAME124370	EUR	NA	1000 Genomes Project
NA20897	male	SAME123664	SAS	NA	1000 Genomes Project
NA20900	female	SAME122920	SAS	NA	1000 Genomes Project
NA20905	male	SAME122915	SAS	NA	1000 Genomes Project
NA20850	male	SAME123246	SAS	NA	1000 Genomes Project
NA21092	male	SAME123322	SAS	NA	1000 Genomes Project
NA20773	female	SAME124575	EUR	NA	1000 Genomes Project
NA21097	female	SAME123319	SAS	NA	1000 Genomes Project
NA20778	male	SAME124571	EUR	NA	1000 Genomes Project
NA21100	male	SAME124440	SAS	NA	1000 Genomes Project
NA20800	female	SAME125364	EUR	NA	1000 Genomes Project
NA20854	female	SAME123248	SAS	NA	1000 Genomes Project
NA20805	male	SAME125361	EUR	NA	1000 Genomes Project
NA20859	female	SAME123249	SAS	NA	1000 Genomes Project
NA20874	female	SAME123597	SAS	NA	1000 Genomes Project
NA20861	male	SAME123807	SAS	NA	1000 Genomes Project
NA20862	female	SAME123804	SAS	NA	1000 Genomes Project
NA21117	male	SAME124185	SAS	NA	1000 Genomes Project
NA20867	male	SAME123809	SAS	NA	1000 Genomes Project
NA21124	male	SAME124024	SAS	NA	1000 Genomes Project
NA20812	male	SAME125190	EUR	NA	1000 Genomes Project
NA21105	male	SAME124437	SAS	NA	1000 Genomes Project
NA21112	male	SAME124182	SAS	NA	1000 Genomes Project
NA20866	male	SAME123808	SAS	NA	1000 Genomes Project
NA21113	male	SAME124181	SAS	NA	1000 Genomes Project
NA21118	male	SAME123585	SAS	NA	1000 Genomes Project
NA20878	female	SAME123595	SAS	NA	1000 Genomes Project
NA21120	female	SAME124028	SAS	NA	1000 Genomes Project
NA20885	male	SAME124525	SAS	NA	1000 Genomes Project
NA21098	male	SAME123324	SAS	NA	1000 Genomes Project
NA20892	female	SAME123109	SAS	NA	1000 Genomes Project
NA21101	female	SAME124441	SAS	NA	1000 Genomes Project
NA21106	female	SAME124434	SAS	NA	1000 Genomes Project
NA21086	female	SAME123139	SAS	NA	1000 Genomes Project
NA21093	male	SAME123323	SAS	NA	1000 Genomes Project
NA20901	male	SAME122919	SAS	NA	1000 Genomes Project
NA20906	female	SAME122918	SAS	NA	1000 Genomes Project
NA21129	male	SAME124023	SAS	NA	1000 Genomes Project
NA21137	female	SAME124038	SAS	NA	1000 Genomes Project
NA21143	female	SAME123359	SAS	NA	1000 Genomes Project
NA21144	female	SAME124511	SAS	NA	1000 Genomes Project
NA21125	female	SAME124025	SAS	NA	1000 Genomes Project
HG00114	male	SAME125343	EUR	NA	1000 Genomes Project
HG00119	male	SAME125348	EUR	NA	1000 Genomes Project
HG00097	female	SAME123267	EUR	NA	1000 Genomes Project
HG00121	female	SAME122873	EUR	NA	1000 Genomes Project
HG00100	female	SAME125154	EUR	NA	1000 Genomes Project
HG00102	female	SAME123945	EUR	NA	1000 Genomes Project
HG00155	male	SAME124588	EUR	NA	1000 Genomes Project
HG00107	male	SAME123947	EUR	NA	1000 Genomes Project
HG00174	female	SAME124958	EUR	NA	1000 Genomes Project
HG00099	female	SAME123271	EUR	NA	1000 Genomes Project
HG00117	male	SAME125346	EUR	NA	1000 Genomes Project
HG00188	male	SAME123641	EUR	NA	1000 Genomes Project
HG00137	female	SAME123066	EUR	NA	1000 Genomes Project
HG00190	male	SAME123856	EUR	NA	1000 Genomes Project
HG00244	male	SAME123217	EUR	NA	1000 Genomes Project
HG00234	male	SAME124123	EUR	NA	1000 Genomes Project
HG00113	male	SAME125342	EUR	NA	1000 Genomes Project
HG00253	female	SAME123051	EUR	NA	1000 Genomes Project
HG00251	male	SAME123053	EUR	NA	1000 Genomes Project
HG00118	female	SAME125347	EUR	NA	1000 Genomes Project
HG00258	female	SAME123057	EUR	NA	1000 Genomes Project
HG00179	female	SAME124965	EUR	NA	1000 Genomes Project
HG00120	female	SAME122874	EUR	NA	1000 Genomes Project
HG00260	male	SAME123582	EUR	NA	1000 Genomes Project
HG00181	male	SAME123644	EUR	NA	1000 Genomes Project
HG00125	female	SAME122869	EUR	NA	1000 Genomes Project
HG00126	male	SAME122872	EUR	NA	1000 Genomes Project
HG00186	male	SAME123647	EUR	NA	1000 Genomes Project
HG00132	female	SAME123061	EUR	NA	1000 Genomes Project
HG00133	female	SAME123062	EUR	NA	1000 Genomes Project
HG00136	male	SAME123065	EUR	NA	1000 Genomes Project
HG00149	male	SAME124387	EUR	NA	1000 Genomes Project
HG00138	male	SAME123059	EUR	NA	1000 Genomes Project
HG00143	male	SAME124393	EUR	NA	1000 Genomes Project
HG00151	male	SAME124592	EUR	NA	1000 Genomes Project
HG00140	male	SAME124396	EUR	NA	1000 Genomes Project
HG00148	male	SAME124388	EUR	NA	1000 Genomes Project
HG00157	male	SAME124590	EUR	NA	1000 Genomes Project
HG00150	female	SAME124591	EUR	NA	1000 Genomes Project
HG00101	male	SAME125153	EUR	NA	1000 Genomes Project
HG00171	female	SAME124961	EUR	NA	1000 Genomes Project
HG00129	male	SAME122867	EUR	NA	1000 Genomes Project
HG00106	female	SAME123948	EUR	NA	1000 Genomes Project
HG00145	male	SAME124391	EUR	NA	1000 Genomes Project
HG00131	male	SAME123064	EUR	NA	1000 Genomes Project
HG00288	female	SAME1839246	EUR	NA	1000 Genomes Project
HG00105	male	SAME123949	EUR	NA	1000 Genomes Project
HG00290	male	SAME1839057	EUR	NA	1000 Genomes Project
HG00239	female	SAME124130	EUR	NA	1000 Genomes Project
HG00112	male	SAME125341	EUR	NA	1000 Genomes Project
HG00246	male	SAME123219	EUR	NA	1000 Genomes Project
HG00232	female	SAME124128	EUR	NA	1000 Genomes Project
HG00308	male	SAME124161	EUR	NA	1000 Genomes Project
HG00176	female	SAME124956	EUR	NA	1000 Genomes Project
HG00237	female	SAME124124	EUR	NA	1000 Genomes Project
HG00310	male	SAME124338	EUR	NA	1000 Genomes Project
HG00183	male	SAME123642	EUR	NA	1000 Genomes Project
HG00319	female	SAME124334	EUR	NA	1000 Genomes Project
HG00264	male	SAME123578	EUR	NA	1000 Genomes Project
HG00265	male	SAME123579	EUR	NA	1000 Genomes Project
HG00321	male	SAME123796	EUR	NA	1000 Genomes Project
HG00269	female	SAME123575	EUR	NA	1000 Genomes Project
HG00380	female	SAME123031	EUR	NA	1000 Genomes Project
HG00326	female	SAME123792	EUR	NA	1000 Genomes Project
HG00271	male	SAME123417	EUR	NA	1000 Genomes Project
HG00357	female	SAME125124	EUR	NA	1000 Genomes Project
HG00233	female	SAME124127	EUR	NA	1000 Genomes Project
HG00328	female	SAME123799	EUR	NA	1000 Genomes Project
HG00364	female	SAME124543	EUR	NA	1000 Genomes Project
HG00238	female	SAME124131	EUR	NA	1000 Genomes Project
HG00330	female	SAME123985	EUR	NA	1000 Genomes Project
HG00369	male	SAME124534	EUR	NA	1000 Genomes Project
HG00240	female	SAME123221	EUR	NA	1000 Genomes Project
HG00335	male	SAME123982	EUR	NA	1000 Genomes Project
HG00268	female	SAME123574	EUR	NA	1000 Genomes Project
HG00245	female	SAME123218	EUR	NA	1000 Genomes Project
HG00284	male	SAME122835	EUR	NA	1000 Genomes Project
HG00252	male	SAME123052	EUR	NA	1000 Genomes Project
HG00304	female	SAME1840118	EUR	NA	1000 Genomes Project
HG00256	male	SAME123048	EUR	NA	1000 Genomes Project
HG00315	female	SAME124335	EUR	NA	1000 Genomes Project
HG00309	female	SAME124160	EUR	NA	1000 Genomes Project
HG00263	female	SAME123581	EUR	NA	1000 Genomes Project
HG00327	female	SAME123791	EUR	NA	1000 Genomes Project
HG00371	male	SAME124747	EUR	NA	1000 Genomes Project
HG00182	male	SAME123643	EUR	NA	1000 Genomes Project
HG00361	female	SAME124538	EUR	NA	1000 Genomes Project
HG00376	female	SAME124751	EUR	NA	1000 Genomes Project
HG00187	male	SAME123646	EUR	NA	1000 Genomes Project
HG00366	male	SAME124541	EUR	NA	1000 Genomes Project
HG00275	female	SAME123421	EUR	NA	1000 Genomes Project
HG00257	female	SAME123047	EUR	NA	1000 Genomes Project
HG00373	female	SAME124749	EUR	NA	1000 Genomes Project
HG00282	female	SAME122833	EUR	NA	1000 Genomes Project
HG00378	female	SAME124745	EUR	NA	1000 Genomes Project
HG00345	male	SAME124919	EUR	NA	1000 Genomes Project
HG00276	female	SAME123424	EUR	NA	1000 Genomes Project
HG00311	male	SAME124339	EUR	NA	1000 Genomes Project
HG00338	male	SAME123990	EUR	NA	1000 Genomes Project
HG00512	male	SAME123525	EAS	NA	1000 Genomes Project
HG00323	female	SAME123795	EUR	NA	1000 Genomes Project
HG00524	male	SAME123724	EAS	NA	1000 Genomes Project
HG00272	female	SAME123420	EUR	NA	1000 Genomes Project
HG00559	male	SAME124248	EAS	NA	1000 Genomes Project
HG00531	female	SAME125381	EAS	NA	1000 Genomes Project
HG00277	male	SAME123423	EUR	NA	1000 Genomes Project
HG00536	male	SAME124344	EAS	NA	1000 Genomes Project
HG00342	male	SAME124924	EUR	NA	1000 Genomes Project
HG00566	female	SAME125048	EAS	NA	1000 Genomes Project
HG00578	female	SAME123528	EAS	NA	1000 Genomes Project
HG00473	female	SAME123338	EAS	NA	1000 Genomes Project
HG00501	female	SAME123362	EAS	NA	1000 Genomes Project
HG00580	male	SAME124832	EAS	NA	1000 Genomes Project
HG00478	male	SAME123335	EAS	NA	1000 Genomes Project
HG00513	female	SAME123526	EAS	NA	1000 Genomes Project
HG00383	female	SAME123032	EUR	NA	1000 Genomes Project
HG00525	female	SAME123242	EAS	NA	1000 Genomes Project
HG00403	male	SAME123160	EAS	NA	1000 Genomes Project
HG00500	male	SAME123363	EAS	NA	1000 Genomes Project
HG00436	male	SAME125262	EAS	NA	1000 Genomes Project
HG00410	female	SAME1839734	EAS	NA	1000 Genomes Project
HG00443	female	SAME124920	EAS	NA	1000 Genomes Project
HG00428	female	SAME122811	EAS	NA	1000 Genomes Project
HG00448	male	SAME124200	EAS	NA	1000 Genomes Project
HG00554	female	SAME123969	AMR	NA	1000 Genomes Project
HG00442	male	SAME124912	EAS	NA	1000 Genomes Project
HG00358	male	SAME125126	EUR	NA	1000 Genomes Project
HG00614	female	SAME125195	EAS	NA	1000 Genomes Project
HG00472	male	SAME123339	EAS	NA	1000 Genomes Project
HG00360	male	SAME124539	EUR	NA	1000 Genomes Project
HG00619	male	SAME125193	EAS	NA	1000 Genomes Project
HG00365	female	SAME124542	EUR	NA	1000 Genomes Project
HG00422	female	SAME122809	EAS	NA	1000 Genomes Project
HG00384	female	SAME123034	EUR	NA	1000 Genomes Project
HG00626	female	SAME123078	EAS	NA	1000 Genomes Project
HG00427	male	SAME122806	EAS	NA	1000 Genomes Project
HG00404	female	SAME123158	EAS	NA	1000 Genomes Project
HG00537	female	SAME124345	EAS	NA	1000 Genomes Project
HG00530	male	SAME124356	EAS	NA	1000 Genomes Project
HG00409	male	SAME1840026	EAS	NA	1000 Genomes Project
HG00334	female	SAME123981	EUR	NA	1000 Genomes Project
HG00551	female	SAME124252	AMR	NA	1000 Genomes Project
HG00446	female	SAME123880	EAS	NA	1000 Genomes Project
HG00339	female	SAME123991	EUR	NA	1000 Genomes Project
HG00341	male	SAME124922	EUR	NA	1000 Genomes Project
HG00479	female	SAME123334	EAS	NA	1000 Genomes Project
HG00346	female	SAME125264	EUR	NA	1000 Genomes Project
HG00556	male	SAME123971	EAS	NA	1000 Genomes Project
HG00353	female	SAME125120	EUR	NA	1000 Genomes Project
HG00599	female	SAME1839802	EAS	NA	1000 Genomes Project
HG00592	male	SAME125011	EAS	NA	1000 Genomes Project
HG00372	male	SAME124748	EUR	NA	1000 Genomes Project
HG00607	male	SAME125373	EAS	NA	1000 Genomes Project
HG00732	female	SAME125396	AMR	NA	1000 Genomes Project
HG00699	female	SAME123165	EAS	NA	1000 Genomes Project
HG00657	female	SAME123255	EAS	NA	1000 Genomes Project
HG00737	female	SAME125416	AMR	NA	1000 Genomes Project
HG00693	female	SAME123683	EAS	NA	1000 Genomes Project
HG00656	male	SAME123233	EAS	NA	1000 Genomes Project
HG00671	male	SAME123604	EAS	NA	1000 Genomes Project
HG00698	male	SAME123693	EAS	NA	1000 Genomes Project
HG00663	female	SAME123813	EAS	NA	1000 Genomes Project
HG00701	male	SAME122931	EAS	NA	1000 Genomes Project
HG00675	female	SAME1840076	EAS	NA	1000 Genomes Project
HG00683	male	SAME123892	EAS	NA	1000 Genomes Project
HG00650	male	SAME123254	EAS	NA	1000 Genomes Project
HG00620	female	SAME123081	EAS	NA	1000 Genomes Project
HG00690	female	SAME123686	EAS	NA	1000 Genomes Project
HG00625	male	SAME123080	EAS	NA	1000 Genomes Project
HG00638	female	SAME123652	AMR	NA	1000 Genomes Project
HG00662	male	SAME123812	EAS	NA	1000 Genomes Project
HG00543	female	SAME122857	EAS	NA	1000 Genomes Project
HG00640	male	SAME123434	AMR	NA	1000 Genomes Project
HG00674	male	SAME1840080	EAS	NA	1000 Genomes Project
HG00629	female	SAME123086	EAS	NA	1000 Genomes Project
HG00708	female	SAME122940	EAS	NA	1000 Genomes Project
HG00631	male	SAME1839060	EAS	NA	1000 Genomes Project
HG00581	female	SAME124831	EAS	NA	1000 Genomes Project
HG01047	male	SAME123166	AMR	NA	1000 Genomes Project
HG00632	female	SAME1839151	EAS	NA	1000 Genomes Project
HG01054	male	SAME123663	AMR	NA	1000 Genomes Project
HG01052	female	SAME123368	AMR	NA	1000 Genomes Project
HG00637	male	SAME123710	AMR	NA	1000 Genomes Project
HG00739	male	SAME125113	AMR	NA	1000 Genomes Project
HG00598	male	SAME1839713	EAS	NA	1000 Genomes Project
HG00613	male	SAME125196	EAS	NA	1000 Genomes Project
HG01061	female	SAME122821	AMR	NA	1000 Genomes Project
HG00864	female	SAME123547	EAS	NA	1000 Genomes Project
HG00593	female	SAME125012	EAS	NA	1000 Genomes Project
HG00651	female	SAME123966	EAS	NA	1000 Genomes Project
HG01108	female	SAME123103	AMR	NA	1000 Genomes Project
HG01028	male	SAME123524	EAS	NA	1000 Genomes Project
HG01110	male	SAME123487	AMR	NA	1000 Genomes Project
HG00734	female	SAME123016	AMR	NA	1000 Genomes Project
HG01064	female	SAME1839759	AMR	NA	1000 Genomes Project
HG00740	female	SAME124834	AMR	NA	1000 Genomes Project
HG01069	male	SAME122825	AMR	NA	1000 Genomes Project
HG01111	female	SAME123486	AMR	NA	1000 Genomes Project
HG01251	female	SAME125282	AMR	NA	1000 Genomes Project
HG01256	male	SAME125287	AMR	NA	1000 Genomes Project
HG01130	male	SAME1839995	AMR	NA	1000 Genomes Project
HG01148	male	SAME124424	AMR	NA	1000 Genomes Project
HG01191	female	SAME123651	AMR	NA	1000 Genomes Project
HG01058	female	SAME1840086	AMR	NA	1000 Genomes Project
HG01162	female	SAME1839707	AMR	NA	1000 Genomes Project
HG01088	male	SAME1839361	AMR	NA	1000 Genomes Project
HG01060	male	SAME123015	AMR	NA	1000 Genomes Project
HG01097	male	SAME122924	AMR	NA	1000 Genomes Project
HG01104	male	SAME123672	AMR	NA	1000 Genomes Project
HG01095	female	SAME122926	AMR	NA	1000 Genomes Project
HG01105	female	SAME123673	AMR	NA	1000 Genomes Project
HG01134	female	SAME123887	AMR	NA	1000 Genomes Project
HG00978	female	SAME124727	EAS	NA	1000 Genomes Project
HG01073	female	SAME124095	AMR	NA	1000 Genomes Project
HG01139	male	SAME123876	AMR	NA	1000 Genomes Project
HG01046	female	SAME123167	EAS	NA	1000 Genomes Project
HG01080	female	SAME125333	AMR	NA	1000 Genomes Project
HG01089	female	SAME1839432	AMR	NA	1000 Genomes Project
HG01085	male	SAME125391	AMR	NA	1000 Genomes Project
HG01177	female	SAME124620	AMR	NA	1000 Genomes Project
HG01112	male	SAME123485	AMR	NA	1000 Genomes Project
HG01083	female	SAME125397	AMR	NA	1000 Genomes Project
HG01077	female	SAME1839581	AMR	NA	1000 Genomes Project
HG01124	male	SAME124053	AMR	NA	1000 Genomes Project
HG01122	female	SAME1840203	AMR	NA	1000 Genomes Project
HG01131	female	SAME1839985	AMR	NA	1000 Genomes Project
HG00707	male	SAME122929	EAS	NA	1000 Genomes Project
HG01136	male	SAME123889	AMR	NA	1000 Genomes Project
HG01254	female	SAME125285	AMR	NA	1000 Genomes Project
HG01072	male	SAME124091	AMR	NA	1000 Genomes Project
HG01167	male	SAME124798	AMR	NA	1000 Genomes Project
HG01259	male	SAME125280	AMR	NA	1000 Genomes Project
HG01198	female	SAME125228	AMR	NA	1000 Genomes Project
HG01348	female	SAME124864	AMR	NA	1000 Genomes Project
HG01248	female	SAME125058	AMR	NA	1000 Genomes Project
HG01350	male	SAME124684	AMR	NA	1000 Genomes Project
HG01250	male	SAME125281	AMR	NA	1000 Genomes Project
HG01092	female	SAME1839489	AMR	NA	1000 Genomes Project
HG01369	female	SAME1839124	AMR	NA	1000 Genomes Project
HG01204	male	SAME124297	AMR	NA	1000 Genomes Project
HG01197	male	SAME124237	AMR	NA	1000 Genomes Project
HG01242	female	SAME125064	AMR	NA	1000 Genomes Project
HG01200	male	SAME1840109	AMR	NA	1000 Genomes Project
HG01383	male	SAME122971	AMR	NA	1000 Genomes Project
HG01247	male	SAME125067	AMR	NA	1000 Genomes Project
HG01274	male	SAME123001	AMR	NA	1000 Genomes Project
HG01390	female	SAME122805	AMR	NA	1000 Genomes Project
HG01395	male	SAME1840207	AMR	NA	1000 Genomes Project
HG01278	female	SAME123003	AMR	NA	1000 Genomes Project
HG01281	female	SAME1839107	AMR	NA	1000 Genomes Project
HG01280	male	SAME1839113	AMR	NA	1000 Genomes Project
HG01325	male	SAME1839604	AMR	NA	1000 Genomes Project
HG01441	female	SAME123236	AMR	NA	1000 Genomes Project
HG01374	male	SAME124291	AMR	NA	1000 Genomes Project
HG01345	female	SAME124863	AMR	NA	1000 Genomes Project
HG01173	male	SAME124624	AMR	NA	1000 Genomes Project
HG01362	male	SAME1839066	AMR	NA	1000 Genomes Project
HG01357	female	SAME124681	AMR	NA	1000 Genomes Project
HG01286	male	SAME1839176	AMR	NA	1000 Genomes Project
HG01393	female	SAME1840222	AMR	NA	1000 Genomes Project
HG01403	female	SAME1839867	AMR	NA	1000 Genomes Project
HG01398	male	SAME1839950	AMR	NA	1000 Genomes Project
HG01142	male	SAME1839731	AMR	NA	1000 Genomes Project
HG01305	male	SAME1840020	AMR	NA	1000 Genomes Project
HG01161	male	SAME1839615	AMR	NA	1000 Genomes Project
HG01275	female	SAME123002	AMR	NA	1000 Genomes Project
HG01312	female	SAME1839791	AMR	NA	1000 Genomes Project
HG01302	male	SAME1840038	AMR	NA	1000 Genomes Project
HG01326	female	SAME1839598	AMR	NA	1000 Genomes Project
HG01414	female	SAME1839703	AMR	NA	1000 Genomes Project
HG01413	male	SAME1839612	AMR	NA	1000 Genomes Project
HG01504	female	SAME124945	EUR	NA	1000 Genomes Project
HG01432	female	SAME1839256	AMR	NA	1000 Genomes Project
HG01438	female	SAME124971	AMR	NA	1000 Genomes Project
HG01566	female	SAME124564	AMR	NA	1000 Genomes Project
HG01437	male	SAME124966	AMR	NA	1000 Genomes Project
HG01488	male	SAME123973	AMR	NA	1000 Genomes Project
HG01578	female	SAME124351	AMR	NA	1000 Genomes Project
HG01495	female	SAME124136	AMR	NA	1000 Genomes Project
HG01507	female	SAME124948	EUR	NA	1000 Genomes Project
HG01489	female	SAME123972	AMR	NA	1000 Genomes Project
HG01519	female	SAME124765	EUR	NA	1000 Genomes Project
HG01351	female	SAME124683	AMR	NA	1000 Genomes Project
HG01491	male	SAME124140	AMR	NA	1000 Genomes Project
HG01521	male	SAME125324	EUR	NA	1000 Genomes Project
HG01356	male	SAME124682	AMR	NA	1000 Genomes Project
HG01509	male	SAME124940	EUR	NA	1000 Genomes Project
HG01440	male	SAME123237	AMR	NA	1000 Genomes Project
HG01456	female	SAME123427	AMR	NA	1000 Genomes Project
HG01516	female	SAME124773	EUR	NA	1000 Genomes Project
HG01465	female	SAME122882	AMR	NA	1000 Genomes Project
HG01494	male	SAME124135	AMR	NA	1000 Genomes Project
HG01464	male	SAME122883	AMR	NA	1000 Genomes Project
HG01528	female	SAME125329	EUR	NA	1000 Genomes Project
HG01468	female	SAME1840382	AMR	NA	1000 Genomes Project
HG01530	male	SAME125137	EUR	NA	1000 Genomes Project
HG01402	male	SAME1839873	AMR	NA	1000 Genomes Project
HG01597	female	SAME125226	EAS	NA	1000 Genomes Project
HG01444	female	SAME1839026	AMR	NA	1000 Genomes Project
HG01375	female	SAME124290	AMR	NA	1000 Genomes Project
HG01363	female	SAME1839059	AMR	NA	1000 Genomes Project
HG01600	female	SAME123456	EAS	NA	1000 Genomes Project
HG01605	female	SAME123459	EUR	NA	1000 Genomes Project
HG01571	male	SAME124346	AMR	NA	1000 Genomes Project
HG01503	male	SAME124944	EUR	NA	1000 Genomes Project
HG01624	male	SAME123840	EUR	NA	1000 Genomes Project
HG01583	male	SAME1839895	SAS	NA	1000 Genomes Project
HG01565	male	SAME124566	AMR	NA	1000 Genomes Project
HG01709	male	SAME123229	EUR	NA	1000 Genomes Project
HG01572	female	SAME124705	AMR	NA	1000 Genomes Project
HG01631	male	SAME124035	EUR	NA	1000 Genomes Project
HG01577	male	SAME124349	AMR	NA	1000 Genomes Project
HG01756	male	SAME124988	EUR	NA	1000 Genomes Project
HG01747	male	SAME125181	EUR	NA	1000 Genomes Project
HG01603	male	SAME123453	EUR	NA	1000 Genomes Project
HG01510	female	SAME124771	EUR	NA	1000 Genomes Project
HG01768	female	SAME1839665	EUR	NA	1000 Genomes Project
HG01608	male	SAME123462	EUR	NA	1000 Genomes Project
HG01679	female	SAME123293	EUR	NA	1000 Genomes Project
HG01610	male	SAME123623	EUR	NA	1000 Genomes Project
HG01522	female	SAME125321	EUR	NA	1000 Genomes Project
HG01672	male	SAME123288	EUR	NA	1000 Genomes Project
HG01527	male	SAME125326	EUR	NA	1000 Genomes Project
HG01686	male	SAME124658	EUR	NA	1000 Genomes Project
HG01612	female	SAME123625	EUR	NA	1000 Genomes Project
HG01684	female	SAME124660	EUR	NA	1000 Genomes Project
HG01623	female	SAME123845	EUR	NA	1000 Genomes Project
HG01617	male	SAME123630	EUR	NA	1000 Genomes Project
HG01673	female	SAME123289	EUR	NA	1000 Genomes Project
HG01770	female	SAME124638	EUR	NA	1000 Genomes Project
HG01615	male	SAME123628	EUR	NA	1000 Genomes Project
HG01678	male	SAME123292	EUR	NA	1000 Genomes Project
HG01775	male	SAME124633	EUR	NA	1000 Genomes Project
HG01628	female	SAME123837	EUR	NA	1000 Genomes Project
HG01630	male	SAME124034	EUR	NA	1000 Genomes Project
HG01595	female	SAME123569	EAS	NA	1000 Genomes Project
HG01589	male	SAME1839859	SAS	NA	1000 Genomes Project
HG01704	female	SAME123265	EUR	NA	1000 Genomes Project
HG01596	male	SAME125227	EAS	NA	1000 Genomes Project
HG01874	female	SAME123396	EAS	NA	1000 Genomes Project
HG01879	male	SAME1839037	AFR	NA	1000 Genomes Project
HG01794	female	SAME124218	EAS	NA	1000 Genomes Project
HG01886	female	SAME122847	AFR	NA	1000 Genomes Project
HG01779	female	SAME124629	EUR	NA	1000 Genomes Project
HG01883	female	SAME122848	AFR	NA	1000 Genomes Project
